,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
10,64,256,ORC,G1,256,3Y,PU," SAR 7,856.86 "
,,,,,,,,,
Specs (1:2),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,16,ORC,G2,16,3Y,PU, SAR 405.04 
2,4,32,ORC,G2,32,3Y,PU, SAR 672.58 
3,6,48,ORC,G2,48,3Y,PU, SAR 940.13 
4,8,64,ORC,G2,64,3Y,PU," SAR 1,207.67 "
5,10,80,ORC,G2,80,3Y,PU," SAR 1,475.21 "
6,12,96,ORC,G2,96,3Y,PU," SAR 1,742.75 "
7,14,112,ORC,G2,112,3Y,PU," SAR 2,010.29 "
8,16,128,ORC,G2,128,3Y,PU," SAR 2,277.84 "
9,32,256,ORC,G2,256,3Y,PU," SAR 4,418.17 "
10,64,512,ORC,G2,512,3Y,PU," SAR 8,698.84 "
,,,,,,,,,
3 YEARS - FULL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,8,ORC,G1,8,3Y,FU, SAR 344.30 
2,4,16,ORC,G1,16,3Y,FU, SAR 563.60 
3,6,24,ORC,G1,24,3Y,FU, SAR 782.90 
4,8,32,ORC,G1,32,3Y,FU," SAR 1,002.20 "
5,10,40,ORC,G1,40,3Y,FU," SAR 1,221.50 "
6,12,48,ORC,G1,48,3Y,FU," SAR 1,440.80 "
7,16,64,ORC,G1,64,3Y,FU," SAR 1,879.40 "
8,32,128,ORC,G1,128,3Y,FU," SAR 3,633.80 "
9,40,160,ORC,G1,160,3Y,FU," SAR 4,511.00 "
10,64,256,ORC,G1,256,3Y,FU," SAR 7,142.60 "
,,,,,,,,,
Specs (1:2),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,16,ORC,G2,16,3Y,FU, SAR 368.22 
2,4,32,ORC,G2,32,3Y,FU, SAR 611.44 
3,6,48,ORC,G2,48,3Y,FU, SAR 854.66 
4,8,64,ORC,G2,64,3Y,FU," SAR 1,097.88 "
5,10,80,ORC,G2,80,3Y,FU," SAR 1,341.10 "
6,12,96,ORC,G2,96,3Y,FU," SAR 1,584.32 "
7,14,112,ORC,G2,112,3Y,FU," SAR 1,827.54 "
8,16,128,ORC,G2,128,3Y,FU," SAR 2,070.76 "
9,32,256,ORC,G2,256,3Y,FU," SAR 4,016.52 "
10,64,512,ORC,G2,512,3Y,FU," SAR 7,908.04 "
,,,,,,,,,
ON-DEMAND,,,,,,,,
,,,,,,,,,
Specs (1:4),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,160,HANA,G1,160,OD,MO," SAR 7,785.80 "
2,64,256,HANA,G1,256,OD,MO," SAR 11,930.60 "
,,,,,,,,,
Specs (1:8),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,8,64,HANA,M1,64,OD,MO," SAR 2,351.80 "
2,10,80,HANA,M1,80,OD,MO," SAR 2,802.80 "
3,12,96,HANA,M1,96,OD,MO," SAR 3,253.80 "
4,14,112,HANA,M1,112,OD,MO," SAR 3,704.80 "
5,16,128,HANA,M1,128,OD,MO," SAR 4,155.80 "
6,18,144,HANA,M1,144,OD,MO," SAR 4,936.80 "
7,32,256,HANA,M1,256,OD,MO," SAR 8,093.80 "
8,64,512,HANA,M1,512,OD,MO," SAR 15,309.80 "
,,,,,,,,,
Specs (1:16),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,640,HANA,M2,640,OD,MO," SAR 14,121.80 "
,,,,,,,,,
,,,,,,,,,
1 YEAR - NO UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,160,HANA,G1,160,1Y,NU," SAR 4,954.60 "
2,64,256,HANA,G1,256,1Y,NU," SAR 7,592.20 "
,,,,,,,,,
Specs (1:8),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,8,64,HANA,M1,64,1Y,NU," SAR 1,496.60 "
2,10,80,HANA,M1,80,1Y,NU," SAR 1,783.60 "
3,12,96,HANA,M1,96,1Y,NU," SAR 2,070.60 "
4,14,112,HANA,M1,112,1Y,NU," SAR 2,357.60 "
5,16,128,HANA,M1,128,1Y,NU," SAR 2,644.60 "
6,18,144,HANA,M1,144,1Y,NU," SAR 3,141.60 "
7,32,256,HANA,M1,256,1Y,NU," SAR 5,150.60 "
8,64,512,HANA,M1,512,1Y,NU," SAR 9,742.60 "
,,,,,,,,,
Specs (1:16),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,640,HANA,M2,640,1Y,NU," SAR 8,986.60 "
,,,,,,,,,
1 YEAR - PARTIAL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,160,HANA,G1,160,1Y,PU," SAR 4,600.70 "
2,64,256,HANA,G1,256,1Y,PU," SAR 7,049.90 "
,,,,,,,,,
Specs (1:8),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,8,64,HANA,M1,64,1Y,PU," SAR 1,389.70 "
2,10,80,HANA,M1,80,1Y,PU," SAR 1,656.20 "
3,12,96,HANA,M1,96,1Y,PU," SAR 1,922.70 "
4,14,112,HANA,M1,112,1Y,PU," SAR 2,189.20 "
5,16,128,HANA,M1,128,1Y,PU," SAR 2,455.70 "
6,18,144,HANA,M1,144,1Y,PU," SAR 2,917.20 "
7,32,256,HANA,M1,256,1Y,PU," SAR 4,782.70 "
8,64,512,HANA,M1,512,1Y,PU," SAR 9,046.70 "
,,,,,,,,,
Specs (1:16),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,640,HANA,M2,640,1Y,PU," SAR 8,344.70 "

1 YEAR - FULL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,160,HANA,G1,160,1Y,FU," SAR 4,246.80 "
2,64,256,HANA,G1,256,1Y,FU," SAR 6,507.60 "
,,,,,,,,,
Specs (1:8),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,8,64,HANA,M1,64,1Y,FU," SAR 1,282.80 "
2,10,80,HANA,M1,80,1Y,FU," SAR 1,528.80 "
3,12,96,HANA,M1,96,1Y,FU," SAR 1,774.80 "
4,14,112,HANA,M1,112,1Y,FU," SAR 2,020.80 "
5,16,128,HANA,M1,128,1Y,FU," SAR 2,266.80 "
6,18,144,HANA,M1,144,1Y,FU," SAR 2,692.80 "
7,32,256,HANA,M1,256,1Y,FU," SAR 4,414.80 "
8,64,512,HANA,M1,512,1Y,FU," SAR 8,350.80 "
,,,,,,,,,
Specs (1:16),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,640,HANA,M2,640,1Y,FU," SAR 7,702.80 "
,,,,,,,,,
3 YEARS - NO UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,160,HANA,G1,160,3Y,NU," SAR 3,539.00 "
2,64,256,HANA,G1,256,3Y,NU," SAR 5,423.00 "
,,,,,,,,,
Specs (1:8),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,8,64,HANA,M1,64,3Y,NU," SAR 1,069.00 "
2,10,80,HANA,M1,80,3Y,NU," SAR 1,274.00 "
3,12,96,HANA,M1,96,3Y,NU," SAR 1,479.00 "
4,14,112,HANA,M1,112,3Y,NU," SAR 1,684.00 "
5,16,128,HANA,M1,128,3Y,NU," SAR 1,889.00 "
6,18,144,HANA,M1,144,3Y,NU," SAR 2,244.00 "
7,32,256,HANA,M1,256,3Y,NU," SAR 3,679.00 "
8,64,512,HANA,M1,512,3Y,NU," SAR 6,959.00 "
,,,,,,,,,
Specs (1:16),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,640,HANA,M2,640,3Y,NU," SAR 6,419.00 "
,,,,,,,,,
3 YEARS - PARTIAL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,160,HANA,G1,160,3Y,PU," SAR 3,185.10 "
2,64,256,HANA,G1,256,3Y,PU," SAR 4,880.70 "
,,,,,,,,,
Specs (1:8),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,8,64,HANA,M1,64,3Y,PU, SAR 962.10 
2,10,80,HANA,M1,80,3Y,PU," SAR 1,146.60 "
3,12,96,HANA,M1,96,3Y,PU," SAR 1,331.10 "
4,14,112,HANA,M1,112,3Y,PU," SAR 1,515.60 "
5,16,128,HANA,M1,128,3Y,PU," SAR 1,700.10 "
6,18,144,HANA,M1,144,3Y,PU," SAR 2,019.60 "
7,32,256,HANA,M1,256,3Y,PU," SAR 3,311.10 "
8,64,512,HANA,M1,512,3Y,PU," SAR 6,263.10 "
,,,,,,,,,
Specs (1:16),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,640,HANA,M2,640,3Y,PU," SAR 5,777.10 "

3 YEARS - FULL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,160,HANA,G1,160,3Y,FU," SAR 2,831.20 "
2,64,256,HANA,G1,256,3Y,FU," SAR 4,338.40 "
,,,,,,,,,
Specs (1:8),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,8,64,HANA,M1,64,3Y,FU, SAR 855.20 
2,10,80,HANA,M1,80,3Y,FU," SAR 1,019.20 "
3,12,96,HANA,M1,96,3Y,FU," SAR 1,183.20 "
4,14,112,HANA,M1,112,3Y,FU," SAR 1,347.20 "
5,16,128,HANA,M1,128,3Y,FU," SAR 1,511.20 "
6,18,144,HANA,M1,144,3Y,FU," SAR 1,795.20 "
7,32,256,HANA,M1,256,3Y,FU," SAR 2,943.20 "
8,64,512,HANA,M1,512,3Y,FU," SAR 5,567.20 "
,,,,,,,,,
Specs (1:16),,,HANA,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,40,640,HANA,M2,640,3Y,FU," SAR 5,135.20 "
,,,,,
Storage,,,,
#,Storage Type,Ser,Typ,DETASAD New Monthly List Price
1,SSD-EVS,EVS,SSD, SAR 0.46 
2,OSS,OSS,STD, SAR 0.08 
3,VBS,VBS,STD, SAR 0.14 

,,,,,
